Species,Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Sweetness,Uniformity,Balance,Clean Cup
Arabica,"Tanzania, United Republic Of",7.92,7.75,7.75,7.75,10,10,7.58,10
Arabica,Colombia,7.67,7.5,7.67,7.42,10,10,8.58,10
Arabica,Guatemala,7.67,7.75,7.67,7.75,10,10,7.75,10
Arabica,Kenya,7.58,7.75,7.75,7.75,10,10,7.83,10
Arabica,Brazil,7.58,7.83,7.75,7.67,10,10,8,10
Arabica,Guatemala,7.92,7.75,7.67,7.67,10,10,7.92,10
Arabica,El Salvador,8.42,8.08,7.5,7.17,10,9.33,8.17,10
Arabica,Colombia,7.75,7.75,7.75,7.75,10,10,7.75,10
Arabica,Guatemala,7.83,7.5,7.5,8,10,10,7.83,10
Arabica,Uganda,7.83,7.75,7.5,7.83,10,10,7.75,10
Arabica,Indonesia,7.81,7.88,7.56,7.75,10,10,7.75,10
Arabica,Colombia,7.83,7.5,7.42,7.5,10,10,8.5,10
Arabica,Taiwan,7.58,7.67,7.67,7.67,10,10,7.83,10
Arabica,Guatemala,8,7.75,7.5,7.58,10,10,7.67,10
Arabica,Colombia,7.92,7.75,7.67,7.75,10,10,7.67,10
Arabica,Guatemala,7.58,7.75,7.67,8,10,10,7.67,10
Arabica,United States (Hawaii),7.83,7.75,7.83,7.83,10,9.33,8.08,10
Arabica,Mexico,7.67,7.75,7.67,7.75,10,10,7.75,10
Arabica,Ethiopia,7.92,7.92,7.83,8,8.67,10,7.92,10
Arabica,Costa Rica,7.58,7.75,7.67,7.75,10,10,7.75,10
Arabica,Ethiopia,7.83,7.75,7.67,7.75,10,10,7.75,10
Arabica,Honduras,7.42,7.83,7.75,7.92,10,10,7.58,10
Arabica,Guatemala,7.67,7.83,7.58,7.92,10,10,7.67,10
Arabica,Colombia,7.67,7.67,7.83,7.58,10,10,7.83,10
Arabica,Guatemala,7.92,7.67,7.42,7.92,10,10,7.83,10
Arabica,Guatemala,7.75,7.83,7.5,7.83,10,10,7.67,10
Arabica,Colombia,7.67,7.75,7.67,7.67,10,10,7.75,10
Arabica,Colombia,7.58,7.42,7.75,7.92,10,10,7.92,10
Arabica,Colombia,7.67,7.67,7.5,7.5,10,10,7.67,10
Arabica,Ethiopia,7.75,7.75,7.5,7.58,10,10,7.92,10
Arabica,Brazil,7.58,7.83,7.67,7.25,10,10,7.75,10
Arabica,Colombia,7.67,7.83,7.67,7.75,10,10,7.75,10
Arabica,Kenya,7.67,7.83,7.5,7.75,10,10,7.67,10
Arabica,Thailand,7.92,8.17,8.17,8.42,9.33,8.67,8.17,8.67
Arabica,Kenya,7.67,7.75,7.67,7.75,10,10,7.67,10
Arabica,Uganda,7.92,7.75,7.58,7.67,10,10,7.83,10
Arabica,Thailand,7.58,7.75,7.58,7.75,10,10,7.75,10
Arabica,Brazil,7.5,7.75,7.58,7.5,10,10,7.5,10
Arabica,Mexico,7.83,7.83,7.58,7.92,10,10,7.5,10
Arabica,Thailand,7.67,7.75,7.5,7.67,10,10,7.83,10
Arabica,Brazil,7.58,7.67,7.67,7.75,10,10,7.83,10
Arabica,Taiwan,7.83,7.75,7.83,7.75,10,9.33,7.75,10
Arabica,Colombia,7.75,7.67,7.5,7.75,10,10,7.75,10
Arabica,Colombia,7.75,7.58,7.5,7.83,10,10,7.92,10
Arabica,Taiwan,7.75,7.75,7.58,7.75,10,10,7.67,10
Arabica,Colombia,7.92,7.67,7.5,7.83,10,10,7.67,10
Arabica,Colombia,7.83,7.75,7.58,7.58,10,10,7.75,10
Arabica,Colombia,7.75,7.58,7.67,7.83,10,10,7.67,10
Arabica,Taiwan,8,7.92,7.92,7.92,10,10,7.33,10
Arabica,Colombia,7.67,7.83,7.67,7.75,10,10,7.83,10
Arabica,Mexico,7.67,7.75,7.58,7.67,10,10,7.83,10
Arabica,Mexico,7.5,7.67,7.58,7.83,10,10,7.75,10
Arabica,Mexico,7.75,7.92,7.83,7.92,10,9.33,7.67,10
Arabica,Colombia,7.92,7.58,7.5,7.83,10,10,7.67,10
Arabica,Colombia,7.83,7.67,7.5,7.75,10,10,7.75,10
Arabica,Costa Rica,7.67,7.67,7.75,7.67,10,10,7.75,10
Arabica,Guatemala,7.75,7.75,7.5,7.75,10,10,7.58,10
Arabica,Taiwan,7.75,7.67,7.5,7.75,10,10,7.67,10
Arabica,Brazil,7.25,7.58,7.42,8,10,10,7.83,10
Arabica,Taiwan,7.67,7.75,7.67,7.75,10,10,7.75,10
Arabica,Ethiopia,7.75,7.75,7.67,7.67,10,10,7.67,10
Arabica,Brazil,7.67,7.67,7.58,7.5,9.33,10,8.17,10
Arabica,Costa Rica,7.83,7.42,7.5,7.83,10,10,7.83,10
Arabica,Guatemala,7.58,7.83,7.33,8,10,10,7.75,10
Arabica,Brazil,7.92,7.5,7.33,7.67,10,10,7.5,10
Arabica,Ecuador,7.5,7.67,7.58,7.75,10,10,7.83,10
Arabica,Colombia,7.67,7.58,7.58,7.83,10,10,7.67,10
Arabica,Guatemala,7.5,7.83,7.5,7.83,10,10,7.67,10
Arabica,Mexico,7.67,8,7.67,7.42,10,10,7.5,10
Arabica,Mexico,7.67,7.58,7.5,7.75,10,10,7.75,10
Arabica,Brazil,7.83,7.83,7.58,7.67,10,10,7.58,10
Arabica,Thailand,7.75,7.75,7.58,8,10,10,7.58,10
Arabica,Thailand,7.5,7.83,7.58,7.58,10,10,7.83,10
Arabica,Ethiopia,7.58,7.83,7.58,8,10,10,7.5,10
Arabica,Kenya,7.75,7.58,7.5,7.58,10,10,7.75,10
Arabica,Brazil,7.67,7.67,7.58,7.75,10,10,7.67,10
Arabica,Colombia,7.83,7.83,7.58,7.58,10,10,7.58,10
Arabica,Taiwan,7.67,7.67,7.58,7.58,10,10,7.83,10
Arabica,Colombia,7.92,7.75,7.5,7.67,10,10,7.5,10
Arabica,China,7.83,7.75,7.67,7.5,10,10,7.67,10
Arabica,Colombia,7.75,7.67,7.5,7.67,10,10,7.83,10
Arabica,Uganda,8,7.92,7.58,7.75,10,10,7.5,10
Arabica,United States (Puerto Rico),7.83,7.83,7.83,7.67,10,9.33,8.17,9.33
Arabica,Colombia,7.67,7.67,7.67,7.92,10,10,7.67,10
Arabica,Colombia,7.67,7.42,7.42,7.42,10,10,8.33,10
Arabica,Colombia,7.58,7.67,7.75,7.67,10,10,7.67,10
Arabica,Colombia,7.75,7.67,7.75,7.58,10,10,8,10
Arabica,United States (Hawaii),7.25,7.42,7.67,7.58,10,10,8.25,10
Arabica,Mexico,7.83,7.58,7.58,7.5,10,10,7.67,10
Arabica,Guatemala,7.67,7.58,7.58,7.67,10,10,7.75,10
Arabica,Colombia,7.83,7.83,7.58,7.33,10,10,7.67,10
Arabica,Colombia,7.75,7.67,7.25,7.25,10,10,8.5,10
Arabica,United States (Hawaii),7.83,7.67,7.75,7.67,10,10,7.5,10
Arabica,Brazil,7.67,7.83,7.5,7.67,10,10,7.5,10
Arabica,Kenya,8.08,7.67,7.67,7.58,10,10,7.67,10
Arabica,Honduras,7.5,7.5,7.67,7.67,10,10,8,10
Arabica,Nicaragua,7.67,7.75,7.67,7.67,10,10,7.58,10
Arabica,Brazil,7.58,7.75,7.58,7.75,10,10,7.58,10
Arabica,Taiwan,7.5,7.67,7.33,7.92,10,10,7.67,10
Arabica,Costa Rica,7.33,7.67,7.67,7.5,10,10,7.5,10
Arabica,Thailand,7.5,7.75,7.58,7.83,10,10,7.58,10
Arabica,Colombia,7.5,7.75,7.5,7.75,10,10,7.67,10
Arabica,Guatemala,8,7.5,7.33,8,10,9.33,8,10
Arabica,Colombia,7.83,7.75,7.67,7.58,10,10,7.67,10
Arabica,Colombia,7.67,7.67,7.67,7.67,10,10,7.75,10
